order_id,customer_id,product,amount,status,created_at,updated_at
1,C001,Laptop,1200.00,completed,2024-01-01 08:00:00,2024-01-01 08:00:00
2,C002,Mouse,25.00,completed,2024-01-01 09:00:00,2024-01-01 09:00:00
3,C003,Keyboard,75.00,pending,2024-01-02 10:00:00,2024-01-02 10:00:00
4,C001,Monitor,350.00,completed,2024-01-02 11:00:00,2024-01-02 11:00:00
5,C004,Headphones,90.00,pending,2024-01-03 08:30:00,2024-01-03 08:30:00
6,C005,Webcam,60.00,completed,2024-01-03 09:00:00,2024-01-03 09:00:00
7,C002,Desk,400.00,pending,2024-01-04 10:00:00,2024-01-04 10:00:00
8,C006,Chair,250.00,completed,2024-01-04 11:00:00,2024-01-04 11:00:00
9,C003,Laptop,1200.00,cancelled,2024-01-05 08:00:00,2024-01-05 14:00:00
10,C007,Mouse,25.00,completed,2024-01-05 09:00:00,2024-01-05 09:00:00
11,C008,Monitor,350.00,pending,2024-01-06 08:00:00,2024-01-06 08:00:00
12,C009,Keyboard,75.00,completed,2024-01-06 09:30:00,2024-01-06 09:30:00
13,C010,Headphones,90.00,completed,2024-01-07 10:00:00,2024-01-07 10:00:00
14,C001,Webcam,60.00,pending,2024-01-07 11:00:00,2024-01-07 11:00:00
15,C004,Desk,400.00,completed,2024-01-08 08:00:00,2024-01-08 08:00:00
16,C005,Chair,250.00,pending,2024-01-08 09:00:00,2024-01-08 09:00:00
17,C006,Laptop,1200.00,completed,2024-01-09 10:00:00,2024-01-09 10:00:00
18,C007,Mouse,25.00,cancelled,2024-01-09 11:00:00,2024-01-09 15:00:00
19,C002,Monitor,350.00,completed,2024-01-10 08:00:00,2024-01-10 08:00:00
20,C003,Keyboard,75.00,pending,2024-01-10 09:00:00,2024-01-10 09:00:00
21,C008,Headphones,90.00,completed,2024-01-11 10:00:00,2024-01-11 10:00:00
22,C009,Webcam,60.00,completed,2024-01-11 11:00:00,2024-01-11 11:00:00
23,C010,Desk,400.00,pending,2024-01-12 08:30:00,2024-01-12 08:30:00
24,C001,Chair,250.00,completed,2024-01-12 09:00:00,2024-01-12 09:00:00
25,C005,Laptop,1200.00,completed,2024-01-13 10:00:00,2024-01-13 10:00:00
26,C006,Mouse,25.00,pending,2024-01-13 11:00:00,2024-01-13 11:00:00
27,C007,Monitor,350.00,completed,2024-01-14 08:00:00,2024-01-14 08:00:00
28,C004,Keyboard,75.00,completed,2024-01-14 09:00:00,2024-01-14 09:00:00
29,C002,Headphones,90.00,pending,2024-01-15 10:00:00,2024-01-15 10:00:00
30,C003,Webcam,60.00,completed,2024-01-15 11:00:00,2024-01-15 11:00:00
31,C008,Desk,400.00,completed,2024-01-16 08:00:00,2024-01-16 08:00:00
32,C009,Chair,250.00,cancelled,2024-01-16 09:00:00,2024-01-16 16:00:00
33,C010,Laptop,1200.00,pending,2024-01-17 10:00:00,2024-01-17 10:00:00
34,C001,Mouse,25.00,completed,2024-01-17 11:00:00,2024-01-17 11:00:00
35,C005,Monitor,350.00,completed,2024-01-18 08:30:00,2024-01-18 08:30:00
36,C006,Keyboard,75.00,pending,2024-01-18 09:00:00,2024-01-18 09:00:00
37,C007,Headphones,90.00,completed,2024-01-19 10:00:00,2024-01-19 10:00:00
38,C004,Webcam,60.00,completed,2024-01-19 11:00:00,2024-01-19 11:00:00
39,C002,Desk,400.00,pending,2024-01-20 08:00:00,2024-01-20 08:00:00
40,C003,Chair,250.00,completed,2024-01-20 09:00:00,2024-01-20 09:00:00
41,C008,Laptop,1200.00,completed,2024-01-21 10:00:00,2024-01-21 10:00:00
42,C009,Mouse,25.00,pending,2024-01-21 11:00:00,2024-01-21 11:00:00
43,C010,Monitor,350.00,completed,2024-01-22 08:00:00,2024-01-22 08:00:00
44,C001,Keyboard,75.00,cancelled,2024-01-22 09:00:00,2024-01-22 13:00:00
45,C005,Headphones,90.00,completed,2024-01-23 10:00:00,2024-01-23 10:00:00
46,C006,Webcam,60.00,completed,2024-01-23 11:00:00,2024-01-23 11:00:00
47,C007,Desk,400.00,pending,2024-01-24 08:30:00,2024-01-24 08:30:00
48,C004,Chair,250.00,completed,2024-01-24 09:00:00,2024-01-24 09:00:00
49,C002,Laptop,1200.00,completed,2024-01-25 10:00:00,2024-01-25 10:00:00
50,C003,Mouse,25.00,pending,2024-01-25 11:00:00,2024-01-25 11:00:00
