id,sale_date,customer_id,product_name,qty,price,discount,region
1,2024-01-05,C001,Laptop Pro,1,1299.99,0.05,North
2,2024-01-07,C002,Wireless Mouse,3,29.99,0.0,South
3,2024-01-08,C003,Office Chair,1,349.99,,East
4,2024-01-10,C001,Laptop Pro,abc,1299.99,0.1,West
5,2024-01-12,C002,USB-C Hub,2,49.99,0.0,North
6,2024-01-14,,Standing Desk,1,799.99,0.15,South
7,2024-01-15,C004,Wireless Mouse,5,29.99,0.0,East
8,2024-01-16,C005,Monitor 27,1,449.99,0.08,North
9,2024-01-18,C002,Keyboard,1,89.99,,South
10,2024-01-20,C003,Office Chair,2,349.99,0.0,West
11,2024-01-22,C006,Laptop Pro,1,1299.99,0.05,East
12,2024-01-23,C001,USB-C Hub,,49.99,0.0,North
13,2024-01-25,C002,Standing Desk,1,-50.00,0.2,South
14,2024-01-27,C007,Monitor 27,2,449.99,0.0,
15,2024-01-28,C004,Keyboard,3,89.99,0.0,West
16,2024-01-30,C005,Webcam HD,1,79.99,0.05,North
17,2024-02-01,C006,Wireless Mouse,4,29.99,0.0,South
18,2024-02-03,,Laptop Pro,1,1299.99,0.1,East
19,2024-02-05,C007,USB-C Hub,2,49.99,0.0,West
20,2024-02-07,C001,Monitor 27,1,99999.00,0.0,North
